cve_id,package_id,vulnerability_type_id,severity_id,cvss_score,affected_versions,fixed_version,description,published_date
CVE-2024-1234,1,1,2,7.5,<4.5.0,4.5.0,Improper input sanitization allows XSS attacks in validation error messages,2024-01-15
CVE-2024-1235,2,2,1,9.8,>=2.0.0 <2.3.1,2.3.1,SQL injection vulnerability in user authentication query builder,2024-01-20
CVE-2024-1236,3,3,2,8.1,>=1.2.0 <1.5.2,1.5.2,Insufficient path validation allows directory traversal attacks,2024-02-01
CVE-2024-1237,4,4,3,6.5,>=3.0.0 <3.2.0,3.2.0,Missing package integrity checks allow dependency confusion attacks,2024-02-10
CVE-2024-1238,5,5,1,9.1,>=0.5.0 <0.8.3,0.8.3,Unsafe deserialization of user-controlled data leads to RCE,2024-02-15
CVE-2024-1239,6,6,2,7.8,>=1.0.0 <1.4.0,1.4.0,Missing CSRF token validation in API endpoints,2024-02-20
CVE-2024-1240,7,2,2,8.5,>=2.1.0 <2.3.5,2.3.5,SQL injection in dynamic query construction using string formatting,2024-03-01
CVE-2024-1241,8,7,3,5.3,>=0.9.0 <0.9.8,0.9.8,Insufficient URL validation allows SSRF attacks,2024-03-05
CVE-2024-1242,9,8,2,7.2,>=3.0.0 <3.2.1,3.2.1,Unsafe JSON deserialization allows object injection attacks,2024-03-10
CVE-2024-1243,10,1,2,8.0,com.example:security-utils:1.0.0 - 1.2.3,1.2.4,XSS vulnerability in HTML template rendering,2024-03-15
CVE-2024-1244,11,5,1,9.3,com.example:rest-api:2.0.0 - 2.1.5,2.1.6,Command injection in file upload handler,2024-03-20
CVE-2024-1245,12,3,3,6.8,com.example:data-validator:1.5.0 - 1.6.2,1.6.3,Path traversal in file validation logic,2024-03-25
CVE-2024-1246,13,9,2,7.6,>=4.0.0 <4.2.1,4.2.1,Improper OAuth token validation allows authentication bypass,2024-04-01
CVE-2024-1247,14,10,2,8.2,>=2.0.0 <2.1.4,2.1.4,XXE vulnerability in XML parsing configuration,2024-04-05
CVE-2024-1248,15,11,3,5.5,>=1.0.0 <1.3.0,1.3.0,Use of weak cryptographic algorithms in password hashing,2024-04-10
CVE-2024-1249,16,12,2,7.4,>=1.2.0 <1.3.2,1.3.2,Session ID not regenerated after authentication,2024-04-15
CVE-2024-1250,17,13,3,6.2,>=3.0.0 <3.1.5,3.1.5,Missing file type validation allows arbitrary file uploads,2024-04-20
CVE-2024-1251,18,14,2,8.3,com.example:api-gateway:1.0.0 - 1.1.8,1.1.9,Insufficient authorization checks in API routing,2024-04-25
CVE-2024-1252,19,15,4,4.2,>=0.8.0 <0.9.1,0.9.1,Sensitive configuration data exposed in error messages,2024-05-01
CVE-2024-1253,20,16,2,7.9,>=2.0.0 <2.2.0,2.2.0,Resource exhaustion vulnerability in WebSocket connection handling,2024-05-05
CVE-2024-1254,21,5,2,8.4,>=1.5.0 <1.6.3,1.6.3,Code execution through malicious image file processing,2024-05-10
CVE-2024-1255,22,17,3,5.8,>=1.0.0 <1.2.1,1.2.1,Insufficient rate limiting allows brute force attacks,2024-05-15
CVE-2024-1256,23,18,2,7.7,com.example:data-encryption:2.0.0 - 2.1.2,2.1.3,Use of deprecated encryption algorithms with known vulnerabilities,2024-05-20
CVE-2024-1257,24,19,4,3.9,>=0.5.0 <0.6.2,0.6.2,Insufficient log sanitization allows log injection attacks,2024-05-25
CVE-2024-1258,25,7,3,6.4,>=5.0.0 <5.1.4,5.1.4,SSRF vulnerability in HTTP client URL handling,2024-06-01
CVE-2024-1259,26,20,2,8.6,com.example:template-engine:1.2.0 - 1.3.1,1.3.2,Template injection vulnerability in user-controlled templates,2024-06-05
CVE-2024-1260,27,21,3,6.1,>=2.0.0 <2.1.3,2.1.3,Insufficient cache key validation allows cache poisoning,2024-06-10
CVE-2024-1261,28,22,4,4.5,>=1.0.0 <1.1.2,1.1.2,Insufficient password complexity requirements,2024-06-15
CVE-2024-1262,29,23,2,7.3,>=3.0.0 <3.1.5,3.1.5,Missing authorization checks in direct object references,2024-06-20
CVE-2024-1263,30,9,2,8.7,com.example:security-middleware:2.0.0 - 2.0.7,2.0.8,Improper JWT token validation allows authentication bypass,2024-06-25
CVE-2024-1264,31,24,2,8.8,>=2.0.0 <2.2.1,2.2.1,Zip slip vulnerability in archive extraction,2024-07-01
CVE-2024-1265,32,25,3,6.7,>=1.0.0 <1.2.0,1.2.0,Insufficient URL validation allows open redirect attacks,2024-07-05
CVE-2024-1266,33,8,2,7.1,com.example:data-serializer:1.0.0 - 1.1.4,1.1.4,Unsafe Java object deserialization,2024-07-10
CVE-2024-1267,34,26,2,8.9,>=3.0.0 <3.1.3,3.1.3,OAuth tokens exposed in URL parameters and logs,2024-07-15
CVE-2024-1268,35,27,3,5.9,>=1.5.0 <1.6.1,1.6.1,Code injection through malicious configuration files,2024-07-20
CVE-2024-1269,36,28,2,7.8,com.example:http-proxy:1.0.0 - 1.0.9,1.0.10,Insufficient header validation allows HTTP header injection,2024-07-25
CVE-2024-1270,37,29,3,6.3,>=4.0.0 <4.1.2,4.1.2,Insufficient input validation allows bypass of security checks,2024-08-01
CVE-2024-1271,38,30,2,8.1,>=2.0.0 <2.1.1,2.1.1,Weak random number generation for cryptographic keys,2024-08-05
CVE-2024-1272,39,31,2,7.5,com.example:api-security:1.5.0 - 1.5.8,1.5.9,API keys exposed in client-side JavaScript code,2024-08-10
CVE-2024-1273,40,3,3,6.6,>=1.0.0 <1.2.0,1.2.0,Path traversal in file reading operations,2024-08-15
CVE-2024-1274,41,15,4,4.8,>=0.9.0 <0.9.5,0.9.5,Sensitive data exposed in transformation error messages,2024-08-20
CVE-2024-1275,42,16,2,7.6,com.example:websocket-client:2.0.0 - 2.0.6,2.0.7,Resource exhaustion in WebSocket message handling,2024-08-25
CVE-2024-1276,43,9,1,9.5,>=5.0.0 <5.1.1,5.1.1,Critical authentication bypass in multi-factor authentication flow,2024-09-01
CVE-2024-1277,44,32,3,5.7,>=2.0.0 <2.0.8,2.0.8,JSON schema validation can be bypassed with crafted input,2024-09-05
CVE-2024-1278,45,33,2,8.2,com.example:security-framework:3.0.0 - 3.0.5,3.0.6,Insufficient permission checks allow privilege escalation,2024-09-10
CVE-2024-1279,46,34,3,6.0,>=6.0.0 <6.0.4,6.0.4,HTTP request smuggling vulnerability in request parsing,2024-09-15
CVE-2024-1280,47,2,2,7.4,>=1.0.0 <1.1.2,1.1.2,SQL injection in dynamic query building for data storage,2024-09-20
